,,"Bước 1",,,,,,,,,,"Bước 2",,,,,,,,,,"Bước 3",,,,,,,,,,"Bước 4",,,,,,,,,,,"Bước 5",,,,,,,,
Ngày,"Cơ sở","Đầu ngày",Mới,"Xử lý","Cuối ngày",24H,"Quá 24H",OUT,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp KT","Quá hạn",Out,Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Ktra 48H","Quá 48H","Không chấm",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Chưa liên lạc","Lần 1","Lần 2","Lần 3",Chờ,Mất,,"Đầu ngày",Mới,"Xử lý","Cuối ngày","Sắp N.Học","Quá hạn N.Học","Thất bại",Chờ,Mất
2021-06-16,DQ,2,1,1,2,0,0,2,0,0,,15,1,5,11,6,2,3,0,0,,11,6,2,15,5,7,3,0,0,,7,2,2,7,2,3,0,2,0,0,,10,2,0,12,2,10,0,0,0,
2021-06-16,TY,4,5,9,0,0,0,0,0,0,,18,10,5,23,17,2,4,0,0,,0,5,0,5,5,0,0,0,0,,10,0,0,10,0,0,0,10,0,0,,15,0,0,15,0,15,0,0,0,
2021-06-17,TDH,5,0,0,5,0,0,5,0,0,,11,3,3,11,1,6,4,0,0,,30,4,3,31,3,21,7,0,0,,25,3,2,26,6,6,4,10,0,0,,33,2,0,35,2,33,0,0,0,

2021-06-17,PTT,1,3,4,0,0,0,0,0,0,,7,4,1,10,4,3,3,0,0,,1,1,0,2,1,0,1,0,0,,5,0,1,4,2,0,0,2,0,0,,10,1,0,11,1,10,0,0,0,
2021-06-17,DQ,2,1,1,2,0,0,2,0,0,,11,1,0,12,4,5,3,0,0,,15,0,0,15,0,12,3,0,0,,7,0,0,7,2,3,0,2,0,0,,12,0,0,12,0,12,0,0,0,
2021-06-17,TY,0,11,11,0,0,0,0,0,0,,21,11,0,32,19,9,4,0,0,,4,0,2,2,0,2,0,0,0,,10,2,0,12,2,0,0,10,0,0,,13,0,0,13,0,13,0,0,0,
2021-06-18,TDH,5,0,0,5,0,0,5,0,0,,10,1,2,9,1,4,4,0,0,,31,2,0,33,2,24,7,0,0,,26,0,0,26,6,6,4,10,0,0,,35,0,0,35,0,35,0,0,0,

2021-06-18,PTT,0,0,0,0,0,0,0,0,0,,8,0,1,7,2,3,2,0,0,,3,1,2,2,1,1,0,0,0,,4,2,0,6,1,0,0,5,0,0,,11,0,0,11,0,11,0,0,0,
2021-06-18,DQ,2,3,3,2,0,0,2,0,0,,11,3,2,12,4,4,4,0,0,,15,4,6,13,2,8,3,0,0,,8,6,1,13,8,3,0,2,0,0,,12,1,0,13,1,12,0,0,0,
2021-06-18,TY,15,1,16,0,0,0,0,0,0,,13,16,0,29,22,3,4,0,0,,3,0,3,0,0,0,0,0,0,,11,3,0,14,4,0,0,10,0,0,,7,0,0,7,0,7,0,0,0,
2021-06-19,TDH,5,2,1,6,1,0,5,0,0,,8,3,2,9,2,3,4,0,0,,31,3,3,31,2,22,7,0,0,,28,7,7,28,8,6,4,10,0,0,,29,11,0,40,7,33,0,0,0,

2021-06-19,PTT,0,5,5,0,0,0,0,0,0,,7,5,0,12,5,5,2,0,0,,2,0,0,2,0,2,0,0,0,,6,1,1,6,2,0,0,4,0,0,,3,2,0,5,1,4,0,0,0,
2021-06-19,DQ,3,1,1,3,0,0,3,0,0,,7,1,1,7,1,4,2,0,0,,12,2,2,12,1,8,3,0,0,,10,2,3,9,3,4,0,2,0,0,,17,3,0,20,3,17,0,0,0,
2021-06-19,TY,1,3,4,0,0,0,0,0,0,,26,4,2,28,24,0,4,0,0,,0,2,0,2,2,0,0,0,0,,11,0,0,11,0,0,0,11,0,0,,10,0,0,10,0,10,0,0,0,
2021-06-20,TDH,5,0,0,5,0,0,5,0,0,,10,2,4,8,1,3,4,0,0,,37,4,9,32,4,21,7,0,0,,21,9,0,30,5,10,5,10,0,0,,26,0,0,26,0,26,0,0,0,

2021-06-20,PTT,0,0,0,0,0,0,0,0,0,,11,0,0,11,3,4,4,0,0,,2,0,0,2,0,2,0,0,0,,7,0,1,6,1,0,0,5,0,0,,5,1,0,6,1,5,0,0,0,
2021-06-20,DQ,3,0,0,3,0,0,3,0,0,,7,0,0,7,1,4,2,0,0,,12,0,0,12,0,9,3,0,0,,7,0,0,7,1,4,0,2,0,0,,15,0,0,15,0,15,0,0,0,
2021-06-20,TY,0,3,3,0,0,0,0,0,0,,28,3,0,31,20,7,4,0,0,,1,0,0,1,0,1,0,0,0,,11,0,0,11,0,0,0,11,0,0,,8,0,0,8,0,8,0,0,0,
2021-06-21,TDH,6,4,5,5,0,0,5,0,0,,8,5,0,13,5,4,4,0,0,,30,0,0,30,0,23,7,0,0,,32,0,3,29,4,10,5,10,0,0,,23,3,0,26,3,23,0,0,0,

2021-06-21,PTT,0,2,2,0,0,0,0,0,0,,11,2,0,13,3,6,4,0,0,,2,0,0,2,0,2,0,0,0,,6,0,0,6,1,0,0,5,0,0,,6,0,0,6,0,6,0,0,0,
2021-06-21,DQ,3,1,0,4,1,0,3,0,0,,7,0,0,7,1,4,2,0,0,,12,0,0,12,0,9,3,0,0,,7,0,0,7,1,4,0,2,0,0,,12,0,0,12,0,12,0,0,0,
2021-06-21,TY,8,9,17,0,0,0,0,0,0,,18,17,2,33,27,2,4,0,0,,1,3,2,2,2,0,0,0,0,,11,2,0,13,2,0,0,11,0,0,,7,0,0,7,0,7,0,0,0,
2021-06-22,TDH,5,0,0,5,0,0,5,0,0,,13,1,2,12,4,4,4,0,0,,30,2,0,32,2,23,7,0,0,,28,0,0,28,3,10,5,10,0,0,,27,0,0,27,0,27,0,0,0,

2021-06-22,PTT,1,0,1,0,0,0,0,0,0,,12,1,0,13,4,9,0,0,0,,2,0,0,2,0,2,0,0,0,,6,0,0,6,1,0,0,5,0,0,,6,0,0,6,0,6,0,0,0,
2021-06-22,DQ,4,1,1,4,1,0,3,0,0,,7,1,0,8,2,4,2,0,0,,12,0,1,11,0,8,3,0,0,,7,1,0,8,2,4,0,2,0,0,,12,0,0,12,0,12,0,0,0,
2021-06-22,TY,8,3,11,0,0,0,0,0,0,,24,11,0,35,31,1,3,0,0,,3,0,2,1,0,1,0,0,0,,13,2,0,15,4,0,0,11,0,0,,7,0,0,7,0,7,0,0,0,
